locus,ancestry_population,Sample1,Sample2,jaccard_distance,overlap_coefficient
IGH,EUR,P28_I10_S1,P28_I136_S1,0.346153846153846,0.825242718446602
IGH,EUR,P28_I116_S1,P28_I136_S1,0.341463414634146,0.801980198019802
IGH,EUR,P28_I117_S1,P28_I136_S1,0.425196850393701,0.752577319587629
IGH,EUR,P28_I118_S1,P28_I136_S1,0.377049180327869,0.8
IGH,EUR,P28_I119_S1,P28_I136_S1,0.447154471544715,0.772727272727273
IGH,EUR,P28_I120_S1,P28_I136_S1,0.308943089430894,0.825242718446602
IGH,EUR,P28_I123_S1,P28_I136_S1,0.375,0.815217391304348
IGH,EUR,P28_I124_S1,P28_I136_S1,0.260869565217391,0.876288659793815
IGH,EUR,P28_I125_S1,P28_I136_S1,0.434108527131783,0.737373737373737
IGH,EUR,P28_I126_S1,P28_I136_S1,0.304,0.844660194174757
IGH,EUR,P28_I127_S1,P28_I136_S1,0.295081967213115,0.83495145631068
IGH,EUR,P28_I128_S1,P28_I136_S1,0.442622950819672,0.781609195402299
IGH,EUR,P28_I129_S1,P28_I136_S1,0.353448275862069,0.852272727272727
IGH,EUR,P28_I12_S1,P28_I136_S1,0.4453125,0.739583333333333
IGH,EUR,P28_I130_S1,P28_I136_S1,0.4609375,0.734042553191489
IGH,EUR,P28_I131_S1,P28_I136_S1,0.422764227642276,0.78021978021978
IGH,EUR,P28_I132_S1,P28_I136_S1,0.477272727272727,0.704081632653061
IGH,EUR,P28_I134_S1,P28_I136_S1,0.40625,0.752475247524752
IGH,EUR,P28_I135_S1,P28_I136_S1,0.247933884297521,0.883495145631068
IGH,EUR,P28_I100_S1,P28_I137_S1,0.376,0.787878787878788
IGH,EUR,P28_I101_S1,P28_I137_S1,0.354545454545455,0.865853658536585
IGH,EUR,P28_I107_S1,P28_I137_S1,0.41025641025641,0.793103448275862
IGH,EUR,P28_I109_S1,P28_I137_S1,0.303571428571429,0.857142857142857
IGH,EUR,P28_I10_S1,P28_I137_S1,0.364341085271318,0.828282828282828
IGH,EUR,P28_I116_S1,P28_I137_S1,0.0952380952380952,0.95959595959596
IGH,EUR,P28_I117_S1,P28_I137_S1,0.25,0.865979381443299
IGH,EUR,P28_I118_S1,P28_I137_S1,0.252252252252252,0.873684210526316
IGH,EUR,P28_I119_S1,P28_I137_S1,0.315315315315315,0.863636363636364
IGH,EUR,P28_I120_S1,P28_I137_S1,0.418604651162791,0.757575757575758
IGH,EUR,P28_I123_S1,P28_I137_S1,0.421487603305785,0.760869565217391
IGH,EUR,P28_I124_S1,P28_I137_S1,0.324786324786325,0.814432989690722
IGH,EUR,P28_I125_S1,P28_I137_S1,0.247787610619469,0.858585858585859
IGH,EUR,P28_I126_S1,P28_I137_S1,0.336,0.838383838383838
IGH,EUR,P28_I127_S1,P28_I137_S1,0.368,0.797979797979798
IGH,EUR,P28_I128_S1,P28_I137_S1,0.396551724137931,0.804597701149425
IGH,EUR,P28_I129_S1,P28_I137_S1,0.428571428571429,0.772727272727273
IGH,EUR,P28_I12_S1,P28_I137_S1,0.361344537815126,0.791666666666667
IGH,EUR,P28_I130_S1,P28_I137_S1,0.196261682242991,0.914893617021277
IGH,EUR,P28_I131_S1,P28_I137_S1,0.272727272727273,0.879120879120879
IGH,EUR,P28_I132_S1,P28_I137_S1,0.301724137931035,0.826530612244898
IGH,EUR,P28_I134_S1,P28_I137_S1,0.412698412698413,0.747474747474748
IGH,EUR,P28_I135_S1,P28_I137_S1,0.4,0.787878787878788
IGH,EUR,P28_I136_S1,P28_I137_S1,0.396825396825397,0.767676767676768
IGH,EUR,P28_I100_S1,P28_I138_S1,0.413223140495868,0.806818181818182
IGH,EUR,P28_I101_S1,P28_I138_S1,0.39622641509434,0.780487804878049
IGH,EUR,P28_I107_S1,P28_I138_S1,0.284313725490196,0.839080459770115
IGH,EUR,P28_I109_S1,P28_I138_S1,0.508333333333333,0.670454545454545
IGH,EUR,P28_I10_S1,P28_I138_S1,0.484848484848485,0.772727272727273
IGH,EUR,P28_I116_S1,P28_I138_S1,0.450819672131147,0.761363636363636
IGH,EUR,P28_I117_S1,P28_I138_S1,0.432203389830509,0.761363636363636
IGH,EUR,P28_I118_S1,P28_I138_S1,0.366071428571429,0.806818181818182
IGH,EUR,P28_I119_S1,P28_I138_S1,0.37037037037037,0.772727272727273
IGH,EUR,P28_I120_S1,P28_I138_S1,0.430894308943089,0.795454545454545
IGH,EUR,P28_I123_S1,P28_I138_S1,0.2,0.909090909090909
IGH,EUR,P28_I124_S1,P28_I138_S1,0.318181818181818,0.852272727272727
IGH,EUR,P28_I125_S1,P28_I138_S1,0.428571428571429,0.772727272727273
IGH,EUR,P28_I126_S1,P28_I138_S1,0.330508474576271,0.897727272727273
